,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
1509,HJLIW,"Hancock Jaffe Laboratories, Inc.",0.07,,2018.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/hjliw
1510,HWC,Hancock Whitney Corporation,27.05,$2.33B,,Finance,Major Banks,https://old.nasdaq.com/symbol/hwc
1511,HWCPL,Hancock Whitney Corporation,25.67,,,Finance,Major Banks,https://old.nasdaq.com/symbol/hwcpl
1512,HAFC,Hanmi Financial Corporation,10.75,$329.13M,,Finance,Major Banks,https://old.nasdaq.com/symbol/hafc
1513,HAPP,Happiness Biotech Group Limited,2.71,$67.75M,2019.0,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/happ
1514,HONE,"HarborOne Bancorp, Inc.",9.05,$528.68M,2016.0,Finance,Major Banks,https://old.nasdaq.com/symbol/hone
1515,HLIT,Harmonic Inc.,5.545,$535.53M,1995.0,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/hlit
1516,HARP,"Harpoon Therapeutics, Inc.",17.17,$429.21M,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/harp
1517,HROW,"Harrow Health, Inc.",5.95,$152.43M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/hrow
1518,HBIO,"Harvard Bioscience, Inc.",2.85,$109.38M,2000.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/hbio
1519,HCAP,Harvest Capital Credit Corporation,4.2,$25.03M,,,,https://old.nasdaq.com/symbol/hcap
1520,HCAPZ,Harvest Capital Credit Corporation,24.9999,,,,,https://old.nasdaq.com/symbol/hcapz
1521,HAS,"Hasbro, Inc.",80.86,$11.08B,,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/has
1522,HA,"Hawaiian Holdings, Inc.",19.36,$889.6M,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/ha
1523,HWKN,"Hawkins, Inc.",43.55,$461.33M,,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/hwkn
1524,HWBK,"Hawthorn Bancshares, Inc.",21.74,$135.69M,,Finance,Major Banks,https://old.nasdaq.com/symbol/hwbk
1525,HYAC,Haymaker Acquisition Corp. II,10.08,$504M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/hyac
1526,HYACU,Haymaker Acquisition Corp. II,10.74,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/hyacu
1527,HYACW,Haymaker Acquisition Corp. II,1.2,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/hyacw
1528,HAYN,"Haynes International, Inc.",26.95,$338.41M,2007.0,Capital Goods,Steel/Iron Ore,https://old.nasdaq.com/symbol/hayn
